행정구역,2024년_거주자_총인구수,2024년_거주자_연령구간인구수,2024년_거주자_0~9세,2024년_거주자_10~19세,2024년_거주자_20~29세,2024년_거주자_30~39세,2024년_거주자_40~49세,2024년_거주자_50~59세,2024년_거주자_60~69세,2024년_거주자_70~79세,2024년_거주자_80~89세,2024년_거주자_90~99세,2024년_거주자_100세 이상,2024년_남_거주자_총인구수,2024년_남_거주자_연령구간인구수,2024년_남_거주자_0~9세,2024년_남_거주자_10~19세,2024년_남_거주자_20~29세,2024년_남_거주자_30~39세,2024년_남_거주자_40~49세,2024년_남_거주자_50~59세,2024년_남_거주자_60~69세,2024년_남_거주자_70~79세,2024년_남_거주자_80~89세,2024년_남_거주자_90~99세,2024년_남_거주자_100세 이상,2024년_여_거주자_총인구수,2024년_여_거주자_연령구간인구수,2024년_여_거주자_0~9세,2024년_여_거주자_10~19세,2024년_여_거주자_20~29세,2024년_여_거주자_30~39세,2024년_여_거주자_40~49세,2024년_여_거주자_50~59세,2024년_여_거주자_60~69세,2024년_여_거주자_70~79세,2024년_여_거주자_80~89세,2024년_여_거주자_90~99세,2024년_여_거주자_100세 이상,2025년_거주자_총인구수,2025년_거주자_연령구간인구수,2025년_거주자_0~9세,2025년_거주자_10~19세,2025년_거주자_20~29세,2025년_거주자_30~39세,2025년_거주자_40~49세,2025년_거주자_50~59세,2025년_거주자_60~69세,2025년_거주자_70~79세,2025년_거주자_80~89세,2025년_거주자_90~99세,2025년_거주자_100세 이상,2025년_남_거주자_총인구수,2025년_남_거주자_연령구간인구수,2025년_남_거주자_0~9세,2025년_남_거주자_10~19세,2025년_남_거주자_20~29세,2025년_남_거주자_30~39세,2025년_남_거주자_40~49세,2025년_남_거주자_50~59세,2025년_남_거주자_60~69세,2025년_남_거주자_70~79세,2025년_남_거주자_80~89세,2025년_남_거주자_90~99세,2025년_남_거주자_100세 이상,2025년_여_거주자_총인구수,2025년_여_거주자_연령구간인구수,2025년_여_거주자_0~9세,2025년_여_거주자_10~19세,2025년_여_거주자_20~29세,2025년_여_거주자_30~39세,2025년_여_거주자_40~49세,2025년_여_거주자_50~59세,2025년_여_거주자_60~69세,2025년_여_거주자_70~79세,2025년_여_거주자_80~89세,2025년_여_거주자_90~99세,2025년_여_거주자_100세 이상,2024년_Primary,2024년_Primary_비율,2024년_Secondary,2024년_Secondary_비율,2024년_Tertiary,2024년_Tertiary_비율,2024년_Other,2024년_Other_비율,2025년_Primary,2025년_Primary_비율,2025년_Secondary,2025년_Secondary_비율,2025년_Tertiary,2025년_Tertiary_비율,2025년_Other,2025년_Other_비율,2026년_Primary_예상,2026년_Secondary_예상,2026년_Tertiary_예상,2026년_Other_예상,2026년_총인구수_예상,2026년_Primary_예상비율,2026년_Secondary_예상비율,2026년_Tertiary_예상비율,2026년_Other_예상비율,위도,경도
경기도성남시분당구수내동,"13,226","13,226",750,"2,271","1,689","1,315","2,727","2,310","1,258",588,268,50,0,"6,551","6,551",364,"1,157",887,705,"1,229","1,217",615,264,105,8,0,"6,675","6,675",386,"1,114",802,610,"1,498","1,093",643,324,163,42,0,"13,116","13,116",744,"2,212","1,639","1,313","2,619","2,334","1,291",652,256,55,1,"6,499","6,499",354,"1,134",855,700,"1,185","1,227",633,291,109,11,0,"6,617","6,617",390,"1,078",784,613,"1,434","1,107",658,361,147,44,1,906,6.85,1258,9.51,10312,77.97,750,5.67,964,7.35,1291,9.84,10117,77.13,744,5.67,1026.0,1325.0,9926.0,738.0,13015.0,7.88,10.18,76.27,5.67,37.37244,127.12236
경기도성남시분당구정자동,"13,840","13,840",751,"1,336","2,175","2,141","2,157","2,184","1,629",949,448,68,2,"7,053","7,053",369,693,"1,179","1,175","1,094","1,068",798,452,207,18,0,"6,787","6,787",382,643,996,966,"1,063","1,116",831,497,241,50,2,"13,618","13,618",715,"1,338","1,984","2,098","2,179","2,128","1,622","1,000",475,77,2,"6,908","6,908",359,678,"1,050","1,189","1,083","1,049",790,464,228,18,0,"6,710","6,710",356,660,934,909,"1,096","1,079",832,536,247,59,2,1467,10.6,1629,11.77,9993,72.2,751,5.43,1554,11.41,1622,11.91,9727,71.43,715,5.25,1646.0,1615.0,9468.0,681.0,13410.0,12.27,12.04,70.6,5.08,37.36628,127.11873
경기도성남시분당구정자동,"29,701","29,701","1,631","3,251","4,199","4,593","5,341","4,993","2,797","1,644","1,068",177,7,"14,084","14,084",812,"1,625","1,890","2,191","2,406","2,449","1,381",737,510,78,5,"15,617","15,617",819,"1,626","2,309","2,402","2,935","2,544","1,416",907,558,99,2,"29,812","29,812","1,590","3,371","3,965","4,757","5,275","4,999","2,860","1,689","1,087",209,10,"14,151","14,151",789,"1,685","1,759","2,343","2,348","2,428","1,442",741,520,89,7,"15,661","15,661",801,"1,686","2,206","2,414","2,927","2,571","1,418",948,567,120,3,2896,9.75,2797,9.42,22377,75.34,1631,5.49,2995,10.05,2860,9.59,22367,75.03,1590,5.33,3097.0,2924.0,22357.0,1550.0,29928.0,10.35,9.77,74.7,5.18,37.36628,127.11873
경기도성남시분당구정자동,"14,182","14,182",644,"1,170","1,680","2,536","2,133","2,277","1,857","1,055",679,148,3,"6,748","6,748",330,638,857,"1,310","1,008","1,086",845,436,207,30,1,"7,434","7,434",314,532,823,"1,226","1,125","1,191","1,012",619,472,118,2,"14,091","14,091",655,"1,155","1,500","2,659","2,134","2,187","1,855","1,110",668,164,4,"6,693","6,693",320,634,754,"1,368","1,017","1,050",850,462,198,39,1,"7,398","7,398",335,521,746,"1,291","1,117","1,137","1,005",648,470,125,3,1885,13.29,1857,13.09,9796,69.07,644,4.54,1946,13.81,1855,13.16,9635,68.38,655,4.65,2009.0,1853.0,9477.0,666.0,14005.0,14.34,13.23,67.67,4.76,37.36628,127.11873
경기도성남시분당구정자동,"16,595","16,595","1,215","1,926","1,975","2,256","2,882","2,898","1,818",883,590,150,2,"7,954","7,954",608,980,983,"1,095","1,360","1,389",876,372,244,47,0,"8,641","8,641",607,946,992,"1,161","1,522","1,509",942,511,346,103,2,"16,362","16,362","1,093","1,915","1,929","2,238","2,778","2,867","1,821",944,630,146,1,"7,878","7,878",535,961,982,"1,141","1,299","1,383",874,401,246,56,0,"8,484","8,484",558,954,947,"1,097","1,479","1,484",947,543,384,90,1,1625,9.79,1818,10.96,11937,71.93,1215,7.32,1721,10.52,1821,11.13,11727,71.67,1093,6.68,1823.0,1824.0,11521.0,983.0,16151.0,11.29,11.29,71.33,6.09,37.36628,127.11873
경기도성남시분당구서현동,"30,652","30,652","1,851","3,991","3,929","4,182","5,331","5,311","3,252","1,626",983,194,2,"14,865","14,865",997,"1,975","1,917","2,105","2,449","2,604","1,613",740,413,52,0,"15,787","15,787",854,"2,016","2,012","2,077","2,882","2,707","1,639",886,570,142,2,"30,390","30,390","1,726","3,942","3,730","4,144","5,304","5,272","3,312","1,759",979,220,2,"14,748","14,748",922,"1,967","1,818","2,129","2,403","2,573","1,628",831,405,72,0,"15,642","15,642",804,"1,975","1,912","2,015","2,901","2,699","1,684",928,574,148,2,2805,9.15,3252,10.61,22744,74.2,1851,6.04,2960,9.74,3312,10.9,22392,73.68,1726,5.68,3124.0,3373.0,22045.0,1609.0,30151.0,10.36,11.19,73.12,5.34,37.3817897,127.1327823
경기도성남시분당구서현동,"17,371","17,371","1,067","2,075","2,251","2,164","2,746","3,152","2,343",980,494,97,2,"8,570","8,570",547,"1,102","1,199","1,098","1,301","1,479","1,153",469,199,23,0,"8,801","8,801",520,973,"1,052","1,066","1,445","1,673","1,190",511,295,74,2,"17,176","17,176","1,014","2,022","2,143","2,219","2,638","3,092","2,380","1,072",488,107,1,"8,454","8,454",534,"1,067","1,121","1,109","1,243","1,473","1,163",521,198,25,0,"8,722","8,722",480,955,"1,022","1,110","1,395","1,619","1,217",551,290,82,1,1573,9.06,2343,13.49,12388,71.31,1067,6.14,1668,9.71,2380,13.86,12114,70.53,1014,5.9,1769.0,2418.0,11846.0,964.0,16997.0,10.41,14.23,69.69,5.67,37.3817897,127.1327823
경기도성남시분당구이매동,"24,681","24,681","1,781","2,912","2,924","3,305","4,054","4,316","2,962","1,521",745,159,2,"12,061","12,061",946,"1,486","1,491","1,648","1,880","2,097","1,447",715,316,33,2,"12,620","12,620",835,"1,426","1,433","1,657","2,174","2,219","1,515",806,429,126,0,"24,416","24,416","1,714","2,822","2,776","3,351","3,986","4,232","2,983","1,610",772,165,5,"11,910","11,910",891,"1,458","1,402","1,659","1,873","2,041","1,442",770,327,45,2,"12,506","12,506",823,"1,364","1,374","1,692","2,113","2,191","1,541",840,445,120,3,2427,9.83,2962,12.0,17511,70.95,1781,7.22,2552,10.45,2983,12.22,17167,70.31,1714,7.02,2683.0,3004.0,16830.0,1650.0,24167.0,11.1,12.43,69.64,6.83,37.39594,127.13327
경기도성남시분당구이매동,"12,928","12,928",832,"1,662","1,488","1,282","2,004","2,334","1,849",929,453,93,2,"6,320","6,320",426,872,758,602,899,"1,138",932,450,210,32,1,"6,608","6,608",406,790,730,680,"1,105","1,196",917,479,243,61,1,"12,737","12,737",779,"1,680","1,394","1,241","1,957","2,310","1,795","1,014",470,93,4,"6,242","6,242",414,873,720,581,881,"1,120",899,499,220,34,1,"6,495","6,495",365,807,674,660,"1,076","1,190",896,515,250,59,3,1477,11.42,1849,14.3,8770,67.84,832,6.44,1581,12.41,1795,14.09,8582,67.38,779,6.12,1692.0,1743.0,8398.0,729.0,12562.0,13.47,13.88,66.85,5.8,37.39594,127.13327
경기도성남시분당구야탑동,"16,536","16,536","1,051","1,143","2,285","2,657","2,382","2,537","2,415","1,339",626,100,1,"8,161","8,161",524,614,"1,165","1,398","1,172","1,189","1,180",616,276,26,1,"8,375","8,375",527,529,"1,120","1,259","1,210","1,348","1,235",723,350,74,0,"16,410","16,410",990,"1,148","2,117","2,676","2,363","2,499","2,398","1,442",662,112,3,"8,086","8,086",503,588,"1,088","1,413","1,178","1,172","1,157",658,298,30,1,"8,324","8,324",487,560,"1,029","1,263","1,185","1,327","1,241",784,364,82,2,2066,12.49,2415,14.6,11004,66.55,1051,6.36,2219,13.52,2398,14.61,10803,65.83,990,6.03,2383.0,2381.0,10606.0,933.0,16303.0,14.62,14.6,65.06,5.72,37.40583,127.14583
경기도성남시분당구야탑동,"15,590","15,590","1,005","1,605","1,725","1,903","2,426","2,418","2,331","1,367",680,127,3,"7,398","7,398",507,789,870,913,"1,093","1,133","1,103",650,301,38,1,"8,192","8,192",498,816,855,990,"1,333","1,285","1,228",717,379,89,2,"15,454","15,454",954,"1,650","1,613","1,825","2,391","2,436","2,256","1,470",711,145,3,"7,344","7,344",493,804,807,891,"1,104","1,128","1,067",694,311,44,1,"8,110","8,110",461,846,806,934,"1,287","1,308","1,189",776,400,101,2,2177,13.96,2331,14.95,10077,64.64,1005,6.45,2329,15.07,2256,14.6,9915,64.16,954,6.17,2492.0,2183.0,9756.0,906.0,15337.0,16.25,14.23,63.61,5.91,37.40583,127.14583
경기도성남시분당구야탑동,"26,117","26,117","1,534","1,740","3,167","4,659","3,671","4,045","4,157","2,016",947,178,3,"12,835","12,835",766,878,"1,667","2,483","1,902","1,910","1,907",936,352,34,0,"13,282","13,282",768,862,"1,500","2,176","1,769","2,135","2,250","1,080",595,144,3,"26,519","26,519","1,593","1,749","3,052","4,938","3,643","4,025","4,167","2,200",969,180,3,"13,058","13,058",802,892,"1,604","2,631","1,877","1,933","1,902","1,018",362,37,0,"13,461","13,461",791,857,"1,448","2,307","1,766","2,092","2,265","1,182",607,143,3,3144,12.04,4157,15.92,17282,66.17,1534,5.87,3352,12.64,4167,15.71,17407,65.64,1593,6.01,3574.0,4177.0,17533.0,1654.0,26938.0,13.27,15.51,65.09,6.14,37.40583,127.14583
경기도성남시분당구판교동,"26,458","26,458","2,698","3,796","2,484","3,295","5,331","4,400","2,768","1,142",449,92,3,"12,993","12,993","1,423","1,946","1,267","1,458","2,478","2,245","1,399",551,195,30,1,"13,465","13,465","1,275","1,850","1,217","1,837","2,853","2,155","1,369",591,254,62,2,"26,245","26,245","2,584","3,764","2,430","3,185","5,172","4,451","2,844","1,263",461,90,1,"12,858","12,858","1,355","1,927","1,251","1,398","2,387","2,264","1,415",634,197,30,0,"13,387","13,387","1,229","1,837","1,179","1,787","2,785","2,187","1,429",629,264,60,1,1686,6.37,2768,10.46,19306,72.97,2698,10.2,1815,6.92,2844,10.84,19002,72.4,2584,9.85,1954.0,2922.0,18703.0,2475.0,26054.0,7.5,11.22,71.79,9.5,37.3899495,127.0985928
경기도성남시분당구삼평동,"23,667","23,667","2,100","2,761","2,670","3,370","4,278","3,934","2,789","1,183",499,83,0,"11,496","11,496","1,063","1,400","1,347","1,592","2,081","1,896","1,336",570,193,18,0,"12,171","12,171","1,037","1,361","1,323","1,778","2,197","2,038","1,453",613,306,65,0,"23,506","23,506","2,018","2,718","2,547","3,360","4,232","3,873","2,823","1,314",531,88,2,"11,400","11,400","1,019","1,376","1,298","1,597","2,042","1,868","1,344",623,213,20,0,"12,106","12,106",999,"1,342","1,249","1,763","2,190","2,005","1,479",691,318,68,2,1765,7.46,2789,11.78,17013,71.88,2100,8.87,1935,8.23,2823,12.01,16730,71.17,2018,8.59,2121.0,2857.0,16452.0,1939.0,23369.0,9.08,12.23,70.4,8.3,37.4017255,127.1019907
경기도성남시분당구백현동,"26,356","26,356","1,745","2,917","3,352","3,448","4,250","4,742","3,673","1,526",603,98,2,"12,622","12,622",905,"1,510","1,661","1,596","2,012","2,216","1,753",692,248,28,1,"13,734","13,734",840,"1,407","1,691","1,852","2,238","2,526","1,920",834,355,70,1,"26,180","26,180","1,665","2,923","3,092","3,495","4,218","4,592","3,758","1,677",635,121,4,"12,472","12,472",851,"1,528","1,533","1,598","2,006","2,123","1,792",747,266,28,0,"13,708","13,708",814,"1,395","1,559","1,897","2,212","2,469","1,966",930,369,93,4,2229,8.46,3673,13.94,18709,70.99,1745,6.62,2437,9.31,3758,14.35,18320,69.98,1665,6.36,2664.0,3845.0,17939.0,1589.0,26037.0,10.23,14.77,68.9,6.1,37.3887318,127.1078551
경기도성남시분당구금곡동,"26,676","26,676","1,588","2,095","3,154","4,237","3,859","4,364","3,742","2,156","1,235",242,4,"12,571","12,571",835,"1,051","1,480","2,074","1,819","2,044","1,775",948,469,75,1,"14,105","14,105",753,"1,044","1,674","2,163","2,040","2,320","1,967","1,208",766,167,3,"26,539","26,539","1,500","2,096","3,011","4,167","3,868","4,306","3,766","2,307","1,243",273,2,"12,477","12,477",798,"1,058","1,409","2,039","1,817","1,993","1,775","1,030",475,83,0,"14,062","14,062",702,"1,038","1,602","2,128","2,051","2,313","1,991","1,277",768,190,2,3637,13.63,3742,14.03,17709,66.39,1588,5.95,3825,14.41,3766,14.19,17448,65.74,1500,5.65,4023.0,3790.0,17191.0,1417.0,26421.0,15.23,14.34,65.07,5.36,37.36077,127.0974
경기도성남시분당구구미동,"16,059","16,059",955,"1,394","2,156","2,656","2,323","2,758","2,109","1,025",564,117,2,"7,745","7,745",499,688,"1,085","1,333","1,104","1,285","1,022",451,234,43,1,"8,314","8,314",456,706,"1,071","1,323","1,219","1,473","1,087",574,330,74,1,"15,978","15,978",930,"1,431","1,932","2,710","2,296","2,757","2,107","1,105",570,135,5,"7,699","7,699",479,718,954,"1,370","1,085","1,289","1,030",488,245,39,2,"8,279","8,279",451,713,978,"1,340","1,211","1,468","1,077",617,325,96,3,1708,10.64,2109,13.13,11287,70.28,955,5.95,1815,11.36,2107,13.19,11126,69.63,930,5.82,1929.0,2105.0,10967.0,906.0,15907.0,12.13,13.23,68.94,5.7,,
경기도성남시분당구구미동,"27,963","27,963","1,501","2,314","3,320","4,089","3,978","4,678","4,151","2,242","1,379",303,8,"13,229","13,229",732,"1,182","1,612","2,033","1,898","2,162","1,998",976,543,90,3,"14,734","14,734",769,"1,132","1,708","2,056","2,080","2,516","2,153","1,266",836,213,5,"27,758","27,758","1,432","2,232","3,204","4,216","3,831","4,541","4,147","2,370","1,436",336,13,"13,107","13,107",705,"1,137","1,511","2,118","1,836","2,087","1,997","1,034",572,108,2,"14,651","14,651",727,"1,095","1,693","2,098","1,995","2,454","2,150","1,336",864,228,11,3932,14.06,4151,14.84,18379,65.73,1501,5.37,4155,14.97,4147,14.94,18024,64.93,1432,5.16,4391.0,4143.0,17676.0,1366.0,27576.0,15.92,15.02,64.1,4.95,,
경기도성남시분당구운중동,"36,982","36,982","4,139","3,926","3,510","6,246","6,914","5,809","4,124","1,599",569,144,2,"18,082","18,082","2,135","1,997","1,732","2,868","3,364","2,861","2,048",810,236,31,0,"18,900","18,900","2,004","1,929","1,778","3,378","3,550","2,948","2,076",789,333,113,2,"38,065","38,065","4,164","4,049","3,521","6,425","7,130","5,947","4,288","1,795",590,151,5,"18,536","18,536","2,119","2,049","1,781","2,915","3,451","2,913","2,128",911,237,32,0,"19,529","19,529","2,045","2,000","1,740","3,510","3,679","3,034","2,160",884,353,119,5,2314,6.26,4124,11.15,26405,71.4,4139,11.19,2541,6.68,4288,11.26,27072,71.12,4164,10.94,2790.0,4459.0,27756.0,4189.0,39194.0,7.12,11.38,70.82,10.69,37.3944345,127.074534
