"행정구역","2024년_거주자_총인구수","2024년_거주자_연령구간인구수","2024년_거주자_0~9세","2024년_거주자_10~19세","2024년_거주자_20~29세","2024년_거주자_30~39세","2024년_거주자_40~49세","2024년_거주자_50~59세","2024년_거주자_60~69세","2024년_거주자_70~79세","2024년_거주자_80~89세","2024년_거주자_90~99세","2024년_거주자_100세 이상","2024년_남_거주자_총인구수","2024년_남_거주자_연령구간인구수","2024년_남_거주자_0~9세","2024년_남_거주자_10~19세","2024년_남_거주자_20~29세","2024년_남_거주자_30~39세","2024년_남_거주자_40~49세","2024년_남_거주자_50~59세","2024년_남_거주자_60~69세","2024년_남_거주자_70~79세","2024년_남_거주자_80~89세","2024년_남_거주자_90~99세","2024년_남_거주자_100세 이상","2024년_여_거주자_총인구수","2024년_여_거주자_연령구간인구수","2024년_여_거주자_0~9세","2024년_여_거주자_10~19세","2024년_여_거주자_20~29세","2024년_여_거주자_30~39세","2024년_여_거주자_40~49세","2024년_여_거주자_50~59세","2024년_여_거주자_60~69세","2024년_여_거주자_70~79세","2024년_여_거주자_80~89세","2024년_여_거주자_90~99세","2024년_여_거주자_100세 이상","2025년_거주자_총인구수","2025년_거주자_연령구간인구수","2025년_거주자_0~9세","2025년_거주자_10~19세","2025년_거주자_20~29세","2025년_거주자_30~39세","2025년_거주자_40~49세","2025년_거주자_50~59세","2025년_거주자_60~69세","2025년_거주자_70~79세","2025년_거주자_80~89세","2025년_거주자_90~99세","2025년_거주자_100세 이상","2025년_남_거주자_총인구수","2025년_남_거주자_연령구간인구수","2025년_남_거주자_0~9세","2025년_남_거주자_10~19세","2025년_남_거주자_20~29세","2025년_남_거주자_30~39세","2025년_남_거주자_40~49세","2025년_남_거주자_50~59세","2025년_남_거주자_60~69세","2025년_남_거주자_70~79세","2025년_남_거주자_80~89세","2025년_남_거주자_90~99세","2025년_남_거주자_100세 이상","2025년_여_거주자_총인구수","2025년_여_거주자_연령구간인구수","2025년_여_거주자_0~9세","2025년_여_거주자_10~19세","2025년_여_거주자_20~29세","2025년_여_거주자_30~39세","2025년_여_거주자_40~49세","2025년_여_거주자_50~59세","2025년_여_거주자_60~69세","2025년_여_거주자_70~79세","2025년_여_거주자_80~89세","2025년_여_거주자_90~99세","2025년_여_거주자_100세 이상"
"경기도 성남시 중원구 금광2동(4113354000)","23,995","23,995","998","1,566","3,177","3,444","3,385","4,189","4,049","2,196","886","99","6","11,843","11,843","496","779","1,549","1,826","1,735","2,102","1,959","1,028","344","23","2","12,152","12,152","502","787","1,628","1,618","1,650","2,087","2,090","1,168","542","76","4","23,326","23,326","914","1,512","2,958","3,388","3,250","3,961","3,988","2,353","882","115","5","11,529","11,529","452","776","1,434","1,787","1,669","1,998","1,944","1,089","350","28","2","11,797","11,797","462","736","1,524","1,601","1,581","1,963","2,044","1,264","532","87","3"
"경기도 성남시 중원구 은행1동(4113355000)","9,367","9,367","400","750","1,483","1,343","1,149","1,676","1,412","767","355","31","1","4,633","4,633","216","386","712","751","561","841","687","335","136","7","1","4,734","4,734","184","364","771","592","588","835","725","432","219","24","0","9,249","9,249","361","723","1,371","1,381","1,122","1,629","1,437","820","373","29","3","4,550","4,550","194","369","667","764","550","802","698","353","143","9","1","4,699","4,699","167","354","704","617","572","827","739","467","230","20","2"
"경기도 성남시 중원구 은행2동(4113356000)","21,327","21,327","672","1,379","2,871","2,741","2,663","3,955","3,793","2,107","1,019","123","4","10,505","10,505","348","708","1,454","1,519","1,385","1,956","1,823","916","365","31","0","10,822","10,822","324","671","1,417","1,222","1,278","1,999","1,970","1,191","654","92","4","20,862","20,862","588","1,324","2,660","2,701","2,534","3,839","3,821","2,225","1,033","132","5","10,248","10,248","299","668","1,334","1,514","1,322","1,885","1,850","970","374","32","0","10,614","10,614","289","656","1,326","1,187","1,212","1,954","1,971","1,255","659","100","5"
"경기도 성남시 중원구 상대원1동(4113357000)","23,642","23,642","1,028","1,496","2,783","3,471","3,241","4,252","4,313","2,075","872","105","6","12,302","12,302","496","789","1,569","2,004","1,782","2,217","2,144","947","328","25","1","11,340","11,340","532","707","1,214","1,467","1,459","2,035","2,169","1,128","544","80","5","22,344","22,344","897","1,420","2,407","3,291","3,032","3,883","4,168","2,231","884","124","7","11,619","11,619","425","754","1,337","1,919","1,687","2,062","2,040","1,033","331","30","1","10,725","10,725","472","666","1,070","1,372","1,345","1,821","2,128","1,198","553","94","6"
"경기도 성남시 중원구 상대원2동(4113358000)","2,951","2,951","101","187","357","320","365","590","620","278","119","13","1","1,547","1,547","57","93","194","170","187","333","325","133","51","3","1","1,404","1,404","44","94","163","150","178","257","295","145","68","10","0","2,792","2,792","91","189","315","308","347","517","605","289","111","19","1","1,430","1,430","46","109","152","163","168","295","308","135","50","3","1","1,362","1,362","45","80","163","145","179","222","297","154","61","16","0"
"경기도 성남시 중원구 상대원3동(4113359000)","11,243","11,243","328","665","1,267","1,402","1,441","2,090","2,305","1,210","472","58","5","5,900","5,900","159","345","706","813","798","1,114","1,186","592","179","8","0","5,343","5,343","169","320","561","589","643","976","1,119","618","293","50","5","10,961","10,961","289","656","1,096","1,435","1,377","1,930","2,316","1,320","476","62","4","5,775","5,775","144","335","612","839","764","1,045","1,190","654","184","8","0","5,186","5,186","145","321","484","596","613","885","1,126","666","292","54","4"
"경기도 성남시 중원구 하대원동(4113366000)","19,165","19,165","987","1,477","2,327","2,597","2,518","3,358","3,621","1,554","645","79","2","9,643","9,643","477","800","1,244","1,366","1,315","1,632","1,800","761","240","8","0","9,522","9,522","510","677","1,083","1,231","1,203","1,726","1,821","793","405","71","2","19,472","19,472","971","1,467","2,245","2,679","2,475","3,318","3,759","1,776","686","93","3","9,732","9,732","477","780","1,199","1,416","1,275","1,619","1,828","865","257","16","0","9,740","9,740","494","687","1,046","1,263","1,200","1,699","1,931","911","429","77","3"
"경기도 성남시 중원구 도촌동(4113367000)","26,000","26,000","1,924","2,734","2,841","3,381","4,574","4,208","3,624","1,801","775","135","3","12,608","12,608","1,020","1,421","1,450","1,686","2,204","2,013","1,676","815","295","27","1","13,392","13,392","904","1,313","1,391","1,695","2,370","2,195","1,948","986","480","108","2","25,795","25,795","1,719","2,723","2,705","3,424","4,357","4,216","3,722","1,958","834","133","4","12,472","12,472","910","1,423","1,351","1,726","2,097","2,032","1,720","864","317","31","1","13,323","13,323","809","1,300","1,354","1,698","2,260","2,184","2,002","1,094","517","102","3"
"경기도 성남시 분당구 (4113500000)","467,967","467,967","32,350","51,148","56,328","66,570","78,417","78,539","57,652","28,801","15,106","2,997","59","226,790","226,790","16,579","26,082","28,227","32,753","37,008","37,988","27,913","13,191","6,195","833","21","241,177","241,177","15,771","25,066","28,101","33,817","41,409","40,551","29,739","15,610","8,911","2,164","38","466,667","466,667","31,147","51,191","53,513","67,295","77,508","77,923","58,266","30,984","15,502","3,257","81","225,960","225,960","15,960","26,095","26,721","33,294","36,530","37,617","28,126","14,264","6,398","933","22","240,707","240,707","15,187","25,096","26,792","34,001","40,978","40,306","30,140","16,720","9,104","2,324","59"
"경기도 성남시 분당구 분당동(4113551000)","24,365","24,365","1,468","2,665","3,145","3,203","3,768","4,292","3,205","1,625","821","168","5","12,015","12,015","744","1,394","1,655","1,675","1,774","2,076","1,546","754","352","44","1","12,350","12,350","724","1,271","1,490","1,528","1,994","2,216","1,659","871","469","124","4","24,258","24,258","1,340","2,720","2,964","3,256","3,726","4,196","3,305","1,730","843","173","5","11,930","11,930","698","1,407","1,542","1,706","1,741","2,035","1,570","819","366","44","2","12,328","12,328","642","1,313","1,422","1,550","1,985","2,161","1,735","911","477","129","3"
"경기도 성남시 분당구 수내1동(4113552000)","17,617","17,617","1,071","2,196","2,146","2,315","3,419","3,073","1,609","921","713","152","2","8,371","8,371","550","1,131","1,038","1,109","1,546","1,533","782","383","255","43","1","9,246","9,246","521","1,065","1,108","1,206","1,873","1,540","827","538","458","109","1","17,713","17,713","1,022","2,279","2,063","2,336","3,372","3,134","1,663","953","731","157","3","8,443","8,443","537","1,171","1,008","1,116","1,543","1,553","808","395","275","35","2","9,270","9,270","485","1,108","1,055","1,220","1,829","1,581","855","558","456","122","1"
"경기도 성남시 분당구 수내2동(4113553000)","10,405","10,405","973","2,002","904","718","2,443","1,714","814","485","293","57","2","5,066","5,066","497","974","487","292","1,139","911","404","219","130","12","1","5,339","5,339","476","1,028","417","426","1,304","803","410","266","163","45","1","10,324","10,324","925","1,975","907","686","2,396","1,745","825","508","295","60","2","5,067","5,067","483","983","474","283","1,131","915","420","233","130","14","1","5,257","5,257","442","992","433","403","1,265","830","405","275","165","46","1"
"경기도 성남시 분당구 수내3동(4113554000)","13,226","13,226","750","2,271","1,689","1,315","2,727","2,310","1,258","588","268","50","0","6,551","6,551","364","1,157","887","705","1,229","1,217","615","264","105","8","0","6,675","6,675","386","1,114","802","610","1,498","1,093","643","324","163","42","0","13,116","13,116","744","2,212","1,639","1,313","2,619","2,334","1,291","652","256","55","1","6,499","6,499","354","1,134","855","700","1,185","1,227","633","291","109","11","0","6,617","6,617","390","1,078","784","613","1,434","1,107","658","361","147","44","1"
"경기도 성남시 분당구 정자동(4113554500)","13,840","13,840","751","1,336","2,175","2,141","2,157","2,184","1,629","949","448","68","2","7,053","7,053","369","693","1,179","1,175","1,094","1,068","798","452","207","18","0","6,787","6,787","382","643","996","966","1,063","1,116","831","497","241","50","2","13,618","13,618","715","1,338","1,984","2,098","2,179","2,128","1,622","1,000","475","77","2","6,908","6,908","359","678","1,050","1,189","1,083","1,049","790","464","228","18","0","6,710","6,710","356","660","934","909","1,096","1,079","832","536","247","59","2"
"경기도 성남시 분당구 정자1동(4113555000)","29,701","29,701","1,631","3,251","4,199","4,593","5,341","4,993","2,797","1,644","1,068","177","7","14,084","14,084","812","1,625","1,890","2,191","2,406","2,449","1,381","737","510","78","5","15,617","15,617","819","1,626","2,309","2,402","2,935","2,544","1,416","907","558","99","2","29,812","29,812","1,590","3,371","3,965","4,757","5,275","4,999","2,860","1,689","1,087","209","10","14,151","14,151","789","1,685","1,759","2,343","2,348","2,428","1,442","741","520","89","7","15,661","15,661","801","1,686","2,206","2,414","2,927","2,571","1,418","948","567","120","3"
"경기도 성남시 분당구 정자2동(4113556000)","14,182","14,182","644","1,170","1,680","2,536","2,133","2,277","1,857","1,055","679","148","3","6,748","6,748","330","638","857","1,310","1,008","1,086","845","436","207","30","1","7,434","7,434","314","532","823","1,226","1,125","1,191","1,012","619","472","118","2","14,091","14,091","655","1,155","1,500","2,659","2,134","2,187","1,855","1,110","668","164","4","6,693","6,693","320","634","754","1,368","1,017","1,050","850","462","198","39","1","7,398","7,398","335","521","746","1,291","1,117","1,137","1,005","648","470","125","3"
"경기도 성남시 분당구 정자3동(4113557000)","16,595","16,595","1,215","1,926","1,975","2,256","2,882","2,898","1,818","883","590","150","2","7,954","7,954","608","980","983","1,095","1,360","1,389","876","372","244","47","0","8,641","8,641","607","946","992","1,161","1,522","1,509","942","511","346","103","2","16,362","16,362","1,093","1,915","1,929","2,238","2,778","2,867","1,821","944","630","146","1","7,878","7,878","535","961","982","1,141","1,299","1,383","874","401","246","56","0","8,484","8,484","558","954","947","1,097","1,479","1,484","947","543","384","90","1"
"경기도 성남시 분당구 서현1동(4113558000)","30,652","30,652","1,851","3,991","3,929","4,182","5,331","5,311","3,252","1,626","983","194","2","14,865","14,865","997","1,975","1,917","2,105","2,449","2,604","1,613","740","413","52","0","15,787","15,787","854","2,016","2,012","2,077","2,882","2,707","1,639","886","570","142","2","30,390","30,390","1,726","3,942","3,730","4,144","5,304","5,272","3,312","1,759","979","220","2","14,748","14,748","922","1,967","1,818","2,129","2,403","2,573","1,628","831","405","72","0","15,642","15,642","804","1,975","1,912","2,015","2,901","2,699","1,684","928","574","148","2"
"경기도 성남시 분당구 서현2동(4113559000)","17,371","17,371","1,067","2,075","2,251","2,164","2,746","3,152","2,343","980","494","97","2","8,570","8,570","547","1,102","1,199","1,098","1,301","1,479","1,153","469","199","23","0","8,801","8,801","520","973","1,052","1,066","1,445","1,673","1,190","511","295","74","2","17,176","17,176","1,014","2,022","2,143","2,219","2,638","3,092","2,380","1,072","488","107","1","8,454","8,454","534","1,067","1,121","1,109","1,243","1,473","1,163","521","198","25","0","8,722","8,722","480","955","1,022","1,110","1,395","1,619","1,217","551","290","82","1"
"경기도 성남시 분당구 이매1동(4113560000)","24,681","24,681","1,781","2,912","2,924","3,305","4,054","4,316","2,962","1,521","745","159","2","12,061","12,061","946","1,486","1,491","1,648","1,880","2,097","1,447","715","316","33","2","12,620","12,620","835","1,426","1,433","1,657","2,174","2,219","1,515","806","429","126","0","24,416","24,416","1,714","2,822","2,776","3,351","3,986","4,232","2,983","1,610","772","165","5","11,910","11,910","891","1,458","1,402","1,659","1,873","2,041","1,442","770","327","45","2","12,506","12,506","823","1,364","1,374","1,692","2,113","2,191","1,541","840","445","120","3"
